order_id,date,customer_id,product_id,quantity
O00276,04-02-2024,C048,P020,3
O00277,26-09-2024,C049,P018,3
O00278,30-09-2024,C038,P003,3
O00279,19-05-2024,C026,P020,5
O00280,06-04-2024,C028,P014,2
O00281,02-01-2024,C050,P004,5
O00282,08-12-2024,C015,P009,4
O00283,12-12-2024,C018,P019,5
O00284,29-03-2024,C045,P008,5
O00285,12-01-2024,C020,P004,4
O00286,14-02-2024,C012,P018,2
O00287,25-01-2024,C029,P020,4
O00288,31-10-2024,C017,P020,4
O00289,22-11-2024,C045,P020,2
O00290,26-02-2024,C046,P018,4
O00291,30-09-2024,C016,P010,2
O00292,06-03-2024,C027,P004,3
O00293,14-05-2024,C050,P013,4
O00294,07-08-2024,C038,P005,1
O00295,20-09-2024,C011,P010,2
O00296,16-11-2024,C030,P014,4
O00297,17-01-2024,C031,P019,3
O00298,12-03-2024,C033,P006,5
O00299,12-04-2024,C002,P006,1
O00300,23-04-2024,C015,P015,4
O00301,31-12-2024,C043,P001,5
O00302,11-10-2024,C013,P012,5
O00303,27-04-2024,C015,P015,1
O00304,21-12-2024,C017,P012,5
O00305,01-07-2024,C009,P008,2
O00306,02-07-2024,C008,P017,2
O00307,07-06-2024,C018,P008,2
O00308,22-02-2024,C044,P015,4
O00309,07-12-2024,C001,P010,4
O00310,06-01-2024,C015,P001,3
O00311,04-03-2024,C004,P011,1
O00312,25-03-2024,C029,P001,5
O00313,12-04-2024,C013,P019,2
O00314,18-02-2024,C040,P013,1
O00315,07-01-2024,C030,P008,3
O00316,05-09-2024,C040,P010,3
O00317,20-12-2024,C032,P013,4
O00318,14-02-2024,C022,P006,5
O00319,18-04-2024,C044,P006,1
O00320,04-07-2024,C024,P009,2
O00321,05-12-2024,C048,P006,3
O00322,11-09-2024,C050,P016,4
O00323,07-10-2024,C030,P003,4
O00324,31-07-2024,C034,P017,2
O00325,01-06-2024,C013,P007,4
O00326,14-03-2024,C041,P012,5
O00327,12-11-2024,C034,P004,3
O00328,21-10-2024,C046,P008,5
O00329,10-01-2024,C014,P016,4
O00330,18-09-2024,C040,P006,2
O00331,31-01-2024,C024,P003,2
O00332,27-09-2024,C010,P011,4
O00333,29-10-2024,C009,P004,2
O00334,17-02-2024,C029,P007,2
O00335,07-06-2024,C016,P010,2
O00336,15-02-2024,C006,P012,4
O00337,26-07-2024,C022,P013,2
O00338,05-12-2024,C033,P014,4
O00339,30-01-2024,C016,P017,5
O00340,25-05-2024,C048,P002,5
O00341,22-12-2024,C039,P008,5
O00342,20-04-2024,C026,P001,1
O00343,18-02-2024,C047,P001,3
O00344,27-06-2024,C022,P005,2
O00345,05-07-2024,C007,P012,5
O00346,30-08-2024,C002,P018,4
O00347,24-04-2024,C047,P016,2
O00348,15-12-2024,C048,P013,3
O00349,09-07-2024,C037,P016,4
O00350,14-04-2024,C006,P004,3
O00351,17-12-2024,C015,P017,3
O00352,04-12-2024,C003,P018,1
O00353,01-07-2024,C003,P002,3
O00354,10-01-2024,C013,P010,2
O00355,06-08-2024,C029,P017,5
O00356,22-07-2024,C004,P010,5
O00357,24-02-2024,C050,P017,4
O00358,20-08-2024,C023,P019,1
O00359,03-11-2024,C014,P010,5
O00360,08-02-2024,C026,P002,2
O00361,21-09-2024,C040,P007,3
O00362,21-02-2024,C016,P005,5
O00363,01-10-2024,C003,P010,5
O00364,02-06-2024,C003,P012,1
O00365,03-01-2024,C043,P010,2
O00366,19-12-2024,C006,P004,4
O00367,01-03-2024,C032,P007,3
O00368,06-08-2024,C020,P014,2
O00369,07-03-2024,C039,P001,3
O00370,07-12-2024,C004,P005,5
O00371,27-09-2024,C045,P018,2
O00372,21-10-2024,C035,P002,4
O00373,07-06-2024,C023,P009,4
O00374,20-06-2024,C011,P005,5
O00375,20-08-2024,C049,P003,2
O00376,14-10-2024,C016,P009,2
O00377,05-11-2024,C025,P011,3
O00378,07-01-2024,C020,P004,3
O00379,30-08-2024,C012,P002,3
O00380,09-02-2024,C021,P003,4
O00381,15-04-2024,C008,P014,4
O00382,30-10-2024,C001,P018,2
O00383,01-04-2024,C015,P004,4
O00384,18-10-2024,C006,P007,2
O00385,18-06-2024,C021,P007,3
O00386,26-03-2024,C044,P008,1
O00387,02-05-2024,C009,P005,2
O00388,13-07-2024,C001,P002,5
O00389,07-10-2024,C006,P011,3
O00390,09-08-2024,C026,P008,4
O00391,07-12-2024,C014,P007,1
O00392,13-11-2024,C025,P006,4
O00393,02-10-2024,C002,P019,2
O00394,08-08-2024,C017,P013,4
O00395,16-04-2024,C021,P009,5
O00396,31-05-2024,C022,P005,3
O00397,13-02-2024,C028,P017,1
O00398,16-05-2024,C040,P018,3
O00399,05-12-2024,C024,P001,1
O00400,04-06-2024,C043,P019,3
O00401,11-02-2024,C027,P014,1
O00402,26-08-2024,C014,P002,4
O00403,18-12-2024,C012,P016,2
O00404,13-11-2024,C017,P003,2
O00405,10-04-2024,C030,P002,1
O00406,15-06-2024,C013,P003,5
O00407,13-07-2024,C046,P010,5
O00408,31-03-2024,C024,P013,5
O00409,08-04-2024,C044,P009,1
O00410,27-03-2024,C035,P003,2
O00411,30-12-2024,C017,P004,5
O00412,30-09-2024,C012,P018,3
O00413,03-11-2024,C038,P020,1
O00414,25-10-2024,C017,P016,1
O00415,17-12-2024,C013,P003,2
O00416,08-02-2024,C047,P017,5
O00417,18-11-2024,C025,P014,1
O00418,25-01-2024,C003,P011,5
O00419,23-06-2024,C025,P003,4
O00420,05-08-2024,C024,P020,5
O00421,10-05-2024,C044,P009,5
O00422,23-02-2024,C036,P001,2
O00423,11-03-2024,C010,P005,5
O00424,28-10-2024,C008,P009,1
O00425,26-04-2024,C031,P002,2
O00426,23-04-2024,C003,P007,2
O00427,03-12-2024,C016,P010,1
O00428,22-02-2024,C007,P019,1
O00429,30-11-2024,C002,P002,1
O00430,03-12-2024,C046,P012,1
O00431,07-08-2024,C005,P019,2
O00432,01-03-2024,C001,P017,1
O00433,27-02-2024,C047,P019,1
O00434,14-04-2024,C010,P004,5
O00435,30-07-2024,C041,P017,1
O00436,26-02-2024,C002,P020,1
O00437,15-06-2024,C008,P007,1
O00438,12-02-2024,C006,P010,1
O00439,16-07-2024,C036,P011,3
O00440,08-01-2024,C032,P010,5
O00441,16-09-2024,C024,P006,4
O00442,21-01-2024,C013,P020,3
O00443,12-03-2024,C005,P020,1
O00444,04-03-2024,C029,P008,4
O00445,31-10-2024,C012,P017,1
O00446,20-01-2024,C030,P008,4
O00447,06-06-2024,C035,P016,3
O00448,04-08-2024,C043,P012,5
O00449,07-07-2024,C025,P010,2
O00450,06-09-2024,C001,P003,4
O00451,20-10-2024,C015,P014,3
O00452,24-05-2024,C043,P007,3
O00453,30-10-2024,C027,P005,5
O00454,26-04-2024,C031,P004,4
O00455,26-12-2024,C023,P020,3
O00456,03-07-2024,C009,P003,3
O00457,26-09-2024,C045,P016,4
O00458,16-11-2024,C039,P018,2
O00459,17-10-2024,C050,P001,1
O00460,07-11-2024,C043,P012,3
O00461,15-07-2024,C015,P012,1
O00462,16-01-2024,C013,P008,1
O00463,29-06-2024,C013,P014,3
O00464,07-03-2024,C046,P009,4
O00465,21-11-2024,C028,P009,4
O00466,27-03-2024,C023,P009,2
O00467,24-03-2024,C049,P017,3
O00468,01-04-2024,C031,P013,1
O00469,23-08-2024,C046,P008,4
O00470,28-07-2024,C050,P019,2
O00471,13-12-2024,C004,P017,4
O00472,01-06-2024,C019,P019,5
O00473,13-04-2024,C037,P015,4
O00474,19-01-2024,C041,P008,2
O00475,03-01-2024,C008,P016,5
O00476,16-05-2024,C016,P007,4
O00477,04-12-2024,C028,P006,4
O00478,10-07-2024,C040,P010,5
O00479,23-11-2024,C006,P020,5
O00480,07-02-2024,C031,P012,1
O00481,04-02-2024,C015,P008,5
O00482,01-11-2024,C011,P010,4
O00483,09-02-2024,C026,P006,2
O00484,20-01-2024,C021,P014,2
O00485,27-05-2024,C032,P008,4
O00486,04-12-2024,C016,P012,2
O00487,09-09-2024,C042,P008,3
O00488,06-02-2024,C004,P007,4
O00489,02-11-2024,C044,P020,4
O00490,04-11-2024,C002,P007,5
O00491,20-10-2024,C037,P002,1
O00492,26-11-2024,C018,P008,2
O00493,28-03-2024,C020,P011,5
O00494,24-12-2024,C001,P002,3
O00495,27-04-2024,C036,P007,2
O00496,20-10-2024,C009,P004,2
O00497,31-07-2024,C033,P011,2
O00498,12-10-2024,C037,P015,3
O00499,17-08-2024,C043,P020,2
O00500,23-08-2024,C036,P008,4
O00501,13-08-2024,C016,P018,3
O00502,12-10-2024,C037,P005,4
O00503,27-09-2024,C042,P016,1
O00504,19-02-2024,C016,P012,4
O00505,29-10-2024,C007,P016,5
O00506,15-07-2024,C045,P016,1
O00507,28-04-2024,C008,P011,2
O00508,07-07-2024,C030,P006,4
O00509,19-12-2024,C012,P011,4
O00510,09-11-2024,C007,P017,4
O00511,01-11-2024,C039,P020,3
O00512,18-06-2024,C008,P019,4
O00513,13-10-2024,C034,P004,4
O00514,20-05-2024,C035,P012,1
O00515,08-09-2024,C004,P003,4
O00516,22-08-2024,C009,P014,3
O00517,01-04-2024,C040,P020,1
O00518,07-04-2024,C026,P002,3
O00519,23-01-2024,C007,P014,3
O00520,21-02-2024,C050,P019,1
O00521,07-06-2024,C014,P017,5
O00522,23-06-2024,C001,P008,2
O00523,01-03-2024,C047,P003,2
O00524,01-06-2024,C001,P019,3
O00525,09-08-2024,C028,P019,5
O00526,26-03-2024,C050,P012,4
O00527,03-05-2024,C029,P020,4
O00528,14-05-2024,C030,P001,2
O00529,03-07-2024,C020,P013,5
O00530,14-05-2024,C007,P001,5
O00531,26-09-2024,C029,P019,3
O00532,29-04-2024,C045,P014,3
O00533,07-06-2024,C005,P019,1
O00534,18-05-2024,C045,P012,4
O00535,07-03-2024,C021,P002,5
O00536,07-09-2024,C027,P001,3
O00537,27-03-2024,C009,P007,3
O00538,18-04-2024,C032,P015,3
O00539,17-10-2024,C010,P004,1
O00540,13-12-2024,C014,P018,4
O00541,02-09-2024,C037,P005,4
O00542,01-12-2024,C003,P010,5
O00543,08-11-2024,C023,P005,5
O00544,25-06-2024,C030,P010,3
O00545,08-10-2024,C007,P010,5
O00546,30-04-2024,C015,P001,3
O00547,17-06-2024,C018,P012,4
O00548,14-07-2024,C034,P016,4
O00549,17-12-2024,C049,P019,5
O00550,06-11-2024,C042,P007,4
O00551,28-06-2024,C010,P018,1
O00552,26-08-2024,C001,P018,1
O00553,15-03-2024,C003,P020,3
O00554,21-10-2024,C030,P008,3
O00555,21-07-2024,C008,P018,4
O00556,13-07-2024,C012,P012,3
O00557,07-10-2024,C043,P002,3
O00558,19-08-2024,C044,P006,5
O00559,27-01-2024,C042,P014,2
O00560,15-04-2024,C013,P004,3
O00561,05-03-2024,C031,P009,3
O00562,25-09-2024,C031,P016,3
O00563,13-01-2024,C010,P003,5
O00564,15-03-2024,C028,P010,5
O00565,06-08-2024,C027,P005,3
O00566,11-09-2024,C020,P011,3
O00567,03-07-2024,C038,P005,3
O00568,11-11-2024,C034,P020,1
O00569,02-12-2024,C027,P002,3
O00570,18-02-2024,C037,P020,2
O00571,14-12-2024,C039,P016,1
O00572,12-08-2024,C029,P018,1
O00573,20-08-2024,C014,P018,3
O00574,04-02-2024,C038,P004,1
O00575,15-08-2024,C036,P019,4
O00576,22-09-2024,C050,P012,3
O00577,31-07-2024,C008,P020,2
O00578,31-01-2024,C021,P018,4
O00579,10-07-2024,C047,P012,3
O00580,08-12-2024,C026,P008,4
O00581,21-09-2024,C048,P003,4
O00582,20-02-2024,C001,P003,1
O00583,17-12-2024,C002,P008,2
O00584,16-12-2024,C040,P017,3
O00585,02-03-2024,C018,P011,5
O00586,20-10-2024,C027,P010,1
O00587,28-05-2024,C022,P005,1
O00588,05-08-2024,C021,P012,5
O00589,11-06-2024,C047,P013,5
O00590,13-10-2024,C005,P020,1
O00591,30-12-2024,C039,P015,3
O00592,18-10-2024,C045,P013,4
O00593,06-12-2024,C033,P019,1
O00594,12-12-2024,C020,P009,2
O00595,02-02-2024,C009,P019,2
O00596,02-04-2024,C035,P008,4
O00597,21-09-2024,C024,P003,2
O00598,03-08-2024,C008,P009,3
O00599,19-01-2024,C018,P003,2
O00600,04-02-2024,C049,P003,4
O00601,09-07-2024,C014,P018,1
O00602,13-08-2024,C009,P016,2
O00603,02-03-2024,C035,P005,2
O00604,03-03-2024,C010,P017,5
O00605,17-02-2024,C046,P002,5
O00606,25-07-2024,C043,P006,3
O00607,03-01-2024,C050,P015,1
O00608,28-07-2024,C046,P007,4
O00609,23-06-2024,C013,P015,3
O00610,19-06-2024,C011,P018,5
O00611,05-09-2024,C018,P002,2
O00612,10-07-2024,C024,P001,5
O00613,23-09-2024,C044,P019,5
O00614,06-10-2024,C037,P011,2
O00615,02-12-2024,C033,P011,4
O00616,19-10-2024,C044,P010,2
O00617,08-07-2024,C033,P009,2
O00618,29-06-2024,C019,P014,2
O00619,27-03-2024,C021,P012,4
O00620,07-08-2024,C026,P004,2
O00621,20-02-2024,C005,P013,4
O00622,06-12-2024,C038,P014,3
O00623,05-11-2024,C033,P003,4
O00624,13-02-2024,C037,P008,5
O00625,14-10-2024,C027,P016,1
O00626,12-02-2024,C040,P013,5
O00627,20-09-2024,C048,P003,1
O00628,02-02-2024,C029,P001,3
O00629,27-06-2024,C023,P012,2
O00630,28-08-2024,C006,P010,4
O00631,23-09-2024,C039,P020,4
O00632,02-06-2024,C046,P011,5
O00633,03-12-2024,C035,P019,3
O00634,10-10-2024,C044,P005,5
O00635,17-03-2024,C044,P009,2
O00636,02-09-2024,C040,P003,2
O00637,24-09-2024,C026,P012,2
O00638,02-05-2024,C005,P004,3
O00639,27-09-2024,C001,P010,4
O00640,24-11-2024,C011,P007,5
O00641,26-10-2024,C022,P004,2
O00642,06-10-2024,C038,P002,2
O00643,20-08-2024,C023,P011,5
O00644,09-04-2024,C002,P019,3
O00645,18-10-2024,C011,P004,2
O00646,13-05-2024,C049,P009,5
O00647,13-07-2024,C050,P005,3
O00648,25-04-2024,C019,P017,5
O00649,24-04-2024,C041,P009,5
O00650,27-02-2024,C036,P020,5
O00651,17-12-2024,C047,P005,3
O00652,24-02-2024,C045,P002,4
O00653,01-02-2024,C032,P012,5
O00654,08-12-2024,C020,P014,2
O00655,22-07-2024,C032,P020,1
O00656,09-06-2024,C016,P018,2
O00657,26-09-2024,C018,P018,4
O00658,20-05-2024,C031,P013,3
O00659,16-02-2024,C029,P008,1
O00660,24-09-2024,C030,P009,3
O00661,05-03-2024,C020,P003,1
O00662,21-07-2024,C021,P009,3
O00663,13-12-2024,C001,P008,3
O00664,08-12-2024,C031,P001,4
O00665,12-05-2024,C029,P005,3
O00666,12-10-2024,C047,P011,3
O00667,12-08-2024,C026,P008,4
O00668,24-06-2024,C024,P020,4
O00669,21-02-2024,C004,P010,5
O00670,17-05-2024,C010,P020,2
O00671,26-08-2024,C017,P014,3
O00672,27-12-2024,C019,P001,2
O00673,02-01-2024,C019,P005,3
O00674,19-09-2024,C020,P015,1
O00675,05-11-2024,C039,P011,3
O00676,14-12-2024,C007,P007,1
O00677,04-06-2024,C017,P011,3
O00678,13-02-2024,C009,P019,5
O00679,09-04-2024,C016,P008,5
O00680,07-11-2024,C035,P001,3
O00681,17-11-2024,C003,P007,1
O00682,21-08-2024,C017,P019,2
O00683,14-02-2024,C002,P016,1
O00684,14-02-2024,C048,P017,4
O00685,24-06-2024,C037,P019,5
O00686,03-08-2024,C013,P003,3
O00687,12-01-2024,C010,P006,1
O00688,08-09-2024,C005,P002,1
O00689,18-07-2024,C024,P001,5
O00690,05-01-2024,C038,P017,2
O00691,05-02-2024,C030,P019,1
O00692,15-06-2024,C045,P004,1
O00693,21-09-2024,C018,P015,2
O00694,29-10-2024,C014,P011,4
O00695,06-06-2024,C024,P002,5
O00696,18-04-2024,C011,P019,2
O00697,20-12-2024,C049,P018,4
O00698,16-06-2024,C010,P012,1
O00699,25-04-2024,C024,P015,1
O00700,10-06-2024,C027,P008,1
O00701,05-01-2024,C003,P016,5
O00702,20-04-2024,C024,P009,3
O00703,07-07-2024,C023,P020,5
O00704,02-12-2024,C013,P002,1
O00705,27-09-2024,C007,P004,1
O00706,12-10-2024,C003,P020,5
O00707,18-07-2024,C001,P006,1
O00708,10-02-2024,C025,P007,1
O00709,23-05-2024,C005,P016,3
O00710,30-12-2024,C048,P004,4
O00711,17-01-2024,C013,P011,2
O00712,17-11-2024,C033,P006,3
O00713,07-09-2024,C034,P004,4
O00714,13-04-2024,C025,P020,3
O00715,11-10-2024,C045,P004,2
O00716,02-11-2024,C006,P002,1
O00717,16-01-2024,C012,P014,3
O00718,08-02-2024,C013,P018,5
O00719,31-08-2024,C007,P003,4
O00720,31-12-2024,C015,P015,5
O00721,09-01-2024,C016,P011,1
O00722,31-08-2024,C039,P017,1
O00723,19-02-2024,C016,P003,3
O00724,25-08-2024,C044,P020,1
O00725,16-08-2024,C039,P013,3
O00726,03-02-2024,C046,P017,5
O00727,06-09-2024,C006,P008,2
O00728,24-11-2024,C050,P019,3
O00729,12-11-2024,C031,P013,4
O00730,11-01-2024,C050,P003,1
O00731,31-03-2024,C018,P019,5
O00732,29-03-2024,C048,P016,2
O00733,14-06-2024,C030,P007,5
O00734,22-02-2024,C004,P011,4
