Id,Neighborhood,OverallQual,GrLivArea,YearBuilt,Bedrooms,FullBath,GarageCars,LotArea,SalePrice,LotFrontage
33,Gilbert,6,1979,1988,3,3,2,19048,242700,58.0
34,NWAmes,5,1017,1954,3,2,2,6015,251400,60.0
35,CollgCr,8,2465,1980,5,3,1,20364,302500,83.0
36,Timber,6,2660,1957,3,2,2,13668,306400,96.0
37,Somerst,9,3071,1951,4,4,2,10220,323500,79.0
38,CollgCr,6,2620,1944,3,1,2,11607,278700,109.0
39,Veenker,9,2163,1936,5,2,1,7548,308300,54.0
40,Edwards,5,2119,2008,4,2,2,15525,227500,30.0
41,CollgCr,7,1907,1982,4,2,1,9179,281100,86.0
42,BrkSide,4,1698,1921,2,2,2,12986,167700,53.0
43,Edwards,4,1174,1997,3,2,1,15317,152400,64.0
44,Gilbert,6,1754,1924,4,2,1,10155,239200,31.0
45,BrkSide,6,1743,1967,3,2,3,11547,180900,50.0
46,BrkSide,5,2114,1920,5,2,2,8666,195500,37.0
47,NWAmes,4,1900,1947,5,2,2,11440,225700,60.0
48,Gilbert,4,1716,1980,3,2,3,21441,249500,61.0
49,Edwards,3,967,2010,2,2,1,13656,203100,72.0
50,Somerst,4,1510,2010,3,2,3,11093,227800,97.0
51,Timber,6,1718,2010,5,1,1,10295,319300,
52,NridgHt,9,2824,1946,5,3,3,14498,387700,34.0
53,BrkSide,4,2032,1912,4,2,1,13519,190800,83.0
54,Edwards,2,1629,2001,3,2,1,10791,150800,72.0
55,Edwards,4,1355,2003,2,2,2,13565,207900,68.0
56,BrkSide,4,661,1932,3,3,2,6984,155500,70.0
57,CollgCr,8,1721,1911,3,2,3,9087,266800,75.0
58,OldTown,3,1937,1973,3,1,2,14169,156500,
59,Somerst,6,1839,1920,4,1,2,8587,268200,66.0
60,Somerst,8,2077,1916,4,2,3,15705,309000,96.0
61,Edwards,5,2374,2005,4,3,2,13698,222600,55.0
62,CollgCr,7,2602,1963,4,3,3,7806,315100,47.0
63,OldTown,5,1808,1914,4,1,2,12999,213500,
64,Edwards,5,1697,1974,5,2,2,6495,190800,45.0
65,OldTown,5,1753,1942,4,2,1,14932,220400,32.0
66,OldTown,4,1699,1960,4,2,2,11527,191200,
67,OldTown,6,2540,2000,4,1,1,20558,233000,102.0
68,Gilbert,4,1767,1934,3,1,2,16283,230600,69.0
69,NridgHt,8,2594,1992,5,3,3,10475,386900,74.0
70,CollgCr,6,2389,2000,4,1,2,6705,234300,23.0
71,Veenker,6,1570,1959,2,2,2,9497,270500,80.0
72,NWAmes,6,2244,2010,4,2,3,9213,252300,
73,BrkSide,4,1516,1951,3,2,0,18422,201400,55.0
74,Gilbert,4,739,1958,2,2,1,10441,227900,74.0
75,StoneBr,7,1415,2010,4,2,2,15096,350800,74.0
76,Gilbert,4,1263,1977,3,2,0,10528,208200,47.0
77,Gilbert,6,2165,2003,5,2,1,12701,245300,
78,Edwards,3,1479,1988,3,1,2,11843,170900,96.0
79,OldTown,5,1864,1980,4,2,3,16600,246600,65.0
80,BrkSide,3,2122,1928,3,2,2,14334,174500,
81,Edwards,4,1175,1945,3,3,2,7649,132100,66.0
82,NWAmes,5,1790,2003,4,2,2,18258,268500,89.0
83,BrkSide,6,2086,1969,3,3,2,12147,244300,43.0
84,Timber,7,1902,1942,3,2,2,11209,314200,83.0
85,NridgHt,8,2349,1957,4,2,2,3794,386200,55.0
86,NoRidge,8,1780,2006,4,2,2,14780,378300,75.0
87,Edwards,2,1753,1921,4,1,2,12859,171300,58.0
88,CollgCr,6,1741,1921,3,2,3,12831,216900,58.0
89,Somerst,9,3230,1996,5,4,3,14050,349000,104.0
90,CollgCr,6,1968,1940,3,3,2,10922,270200,39.0
91,Somerst,6,2339,1996,2,2,1,12384,287100,81.0
92,Edwards,5,1781,1960,3,2,3,14183,203900,108.0
93,CollgCr,7,2149,2010,5,3,3,15534,272400,85.0
94,NWAmes,3,1235,1965,2,2,2,10661,193500,
95,Gilbert,4,1661,2003,3,1,1,15643,266400,42.0
96,OldTown,5,1911,1995,5,2,2,12545,244300,53.0
97,NWAmes,5,1525,1931,3,2,1,10285,224500,73.0
98,NoRidge,9,2476,2010,4,3,3,14646,394900,75.0
99,Somerst,6,1766,1994,2,2,3,7774,265500,42.0
100,BrDale,2,2064,1911,5,1,2,13942,175300,51.0
101,IDOTRR,3,1408,1900,3,1,2,6418,180100,52.0
102,Edwards,1,1620,1931,3,1,0,8642,122900,66.0
103,Gilbert,5,1731,1909,5,2,2,5396,239700,
104,BrDale,4,1710,1939,4,3,3,11807,189600,
105,BrkSide,4,1157,2010,2,2,1,16947,187200,49.0
106,Edwards,6,1823,1954,3,2,2,12236,239800,45.0
107,CollgCr,7,2233,1911,4,2,3,15718,310900,84.0
108,Gilbert,5,2355,1962,3,3,2,21943,254100,69.0
109,NoRidge,5,1877,1945,2,2,4,14168,346500,50.0
110,IDOTRR,5,2284,1994,4,2,1,10889,202400,62.0
111,CollgCr,7,2384,1918,3,2,1,11571,258400,53.0
112,Timber,7,2729,1996,6,3,3,14460,327100,
113,Gilbert,7,2139,1957,4,3,1,11062,274500,129.0
114,OldTown,3,2276,1904,3,1,1,11598,187400,82.0
115,Timber,9,2350,1986,3,3,2,17148,304900,68.0
116,BrkSide,3,1171,1952,1,2,2,14933,156300,55.0
117,Edwards,5,1376,1986,2,2,2,5987,187300,
118,Edwards,3,2255,1969,5,1,2,10646,185900,86.0
119,CollgCr,5,2086,1995,6,2,2,11547,269900,85.0
120,OldTown,6,1863,1952,4,2,3,14822,222100,60.0
121,OldTown,4,2057,1902,4,2,4,17114,217600,97.0
122,OldTown,6,2220,1916,4,2,2,22896,197600,70.0
123,NoRidge,8,3028,1971,4,2,2,13426,374900,87.0
124,NWAmes,6,1438,1951,5,2,1,10420,261700,77.0
125,StoneBr,9,2427,2007,4,3,2,15913,376300,66.0
126,CollgCr,6,1818,1954,5,2,2,10248,257900,49.0
127,NWAmes,3,749,2002,4,2,1,10004,196400,67.0
128,Somerst,5,2171,1932,2,2,2,11889,290700,
129,Somerst,7,2065,1954,3,3,3,3954,313400,59.0
130,OldTown,5,2058,1985,3,2,3,13547,238000,80.0
131,Timber,4,2445,1925,4,2,2,13251,272900,46.0
132,MeadowV,3,1316,1935,3,1,1,16081,128400,87.0
133,OldTown,4,1472,1984,6,1,3,11963,228000,77.0
134,NWAmes,5,1841,1972,3,2,2,8290,261200,44.0
135,OldTown,3,1785,1987,4,2,0,11666,171400,65.0
136,NridgHt,7,1961,1977,4,2,3,5603,382900,90.0
137,BrDale,3,1219,1994,3,2,2,7199,153400,42.0
138,CollgCr,7,2530,2005,4,2,0,16284,309900,46.0
139,BrkSide,5,1932,2009,3,1,1,11998,233800,68.0
140,NoRidge,8,1624,1934,3,3,2,15476,322800,117.0
141,CollgCr,5,1371,1974,4,2,2,4857,250900,
142,CollgCr,6,2505,1921,4,2,2,13161,284700,81.0
143,MeadowV,3,1580,1925,4,1,1,10495,196800,
144,OldTown,3,1173,1935,4,2,2,14691,149800,57.0
145,CollgCr,5,1740,1980,4,3,2,14834,277700,74.0
146,Gilbert,5,1804,1955,4,2,2,14855,242000,60.0
147,NWAmes,4,1877,2003,3,2,1,18148,217000,62.0
148,CollgCr,6,1504,1941,3,3,1,10719,239100,33.0
149,CollgCr,7,1865,1976,3,1,3,17402,275700,
150,NridgHt,6,2075,2004,4,3,2,9495,333300,90.0
151,BrkSide,4,1585,2009,3,3,2,8386,200100,71.0
152,IDOTRR,4,1820,1926,3,1,1,15274,184900,
153,Somerst,7,1729,1992,2,2,2,7191,289000,83.0
154,OldTown,4,1744,1911,2,1,3,14492,178100,69.0
155,Somerst,5,2182,1971,4,2,1,13718,270000,56.0
156,Edwards,3,1610,1947,2,1,2,15971,179000,59.0
157,Gilbert,6,2028,2010,3,3,3,12847,274700,38.0
158,Edwards,6,1946,1987,3,2,3,13088,244600,64.0
159,Edwards,2,967,2003,2,1,1,12716,163000,73.0
160,Edwards,5,1774,1995,4,2,1,10228,178000,108.0
161,Somerst,8,2780,1957,5,3,2,12088,305700,82.0
162,MeadowV,4,1578,1980,3,1,1,13816,170600,51.0
163,Gilbert,6,1668,1911,3,1,1,12233,253200,38.0
164,NridgHt,7,1987,1982,4,4,3,11548,382300,65.0
165,OldTown,4,1690,1907,3,1,2,12090,212500,88.0
166,NWAmes,4,1489,1987,3,2,1,17558,228000,65.0
167,BrkSide,2,1429,2008,4,1,2,10307,187700,82.0
168,BrkSide,6,2162,1976,5,3,2,11671,194500,66.0
169,Gilbert,4,1931,2000,4,3,3,6885,258100,86.0
170,BrDale,4,2118,1925,5,2,2,13087,164400,35.0
171,Gilbert,4,1968,2010,2,1,2,15235,247000,105.0
172,CollgCr,4,1293,1969,4,1,2,14512,283900,46.0
173,Gilbert,5,1483,1982,4,2,3,12344,248000,87.0
174,MeadowV,3,1413,1984,4,1,1,15171,140100,64.0
175,Timber,7,2002,1982,4,1,2,15563,301700,67.0
176,StoneBr,8,1941,1954,4,3,2,16777,338800,65.0
177,CollgCr,6,1825,1976,3,2,2,16095,244200,76.0
178,BrDale,4,1453,1971,4,3,2,17400,211300,80.0
179,IDOTRR,6,1744,1994,3,3,2,11894,218000,93.0
180,Edwards,3,1329,1954,4,1,2,7013,178700,101.0
181,IDOTRR,4,2032,1955,2,2,2,15387,176700,77.0
182,IDOTRR,5,1869,1955,3,1,1,15469,176600,108.0
183,CollgCr,7,3025,1921,6,3,3,20544,326000,72.0
184,Gilbert,4,1679,1917,3,2,2,16842,228800,
185,Edwards,4,1518,1904,3,1,1,18845,116200,
186,Edwards,6,1981,1975,3,2,2,15131,262000,58.0
187,NWAmes,6,2069,1954,4,2,1,13938,255200,74.0
188,NoRidge,8,2492,2010,3,2,2,9136,383500,81.0
189,Edwards,4,2346,1979,4,2,2,14770,233000,69.0
190,Gilbert,5,1504,1923,4,2,1,10074,230900,79.0
191,MeadowV,4,1920,1911,3,3,3,13580,188200,89.0
192,Gilbert,5,1872,1948,4,1,1,12934,229700,69.0
193,Somerst,6,1430,2010,4,3,2,13511,249500,21.0
194,BrkSide,5,2069,1907,5,1,3,12797,207700,107.0
195,Somerst,5,2243,1932,4,2,3,16758,303100,63.0
196,Timber,7,1859,1915,6,2,2,3186,266600,52.0
197,OldTown,8,2336,1947,5,2,2,14336,224800,45.0
198,IDOTRR,2,656,2008,3,2,0,14520,150800,
199,Timber,7,1719,1987,3,3,2,18983,279100,58.0
200,Gilbert,5,2166,1962,4,3,1,15893,240700,54.0
201,BrkSide,5,1636,1917,5,2,1,18169,175700,
202,BrDale,4,1231,1939,4,2,1,12053,155300,82.0
203,CollgCr,7,2240,1966,5,2,2,13490,251000,115.0
204,Somerst,8,2157,1942,4,2,3,15166,291000,
205,NridgHt,8,2175,1998,3,2,1,13338,369200,95.0
206,Gilbert,7,2418,2010,4,2,2,11097,288800,
207,Somerst,3,1033,1934,2,2,1,9262,238600,72.0
208,Edwards,6,1663,1929,2,1,2,8433,234400,79.0
209,Somerst,7,2213,1925,4,2,3,15275,318400,55.0
210,CollgCr,7,2499,1988,5,3,2,14037,307000,61.0
211,Edwards,3,1873,1952,4,2,0,11484,174600,89.0
212,OldTown,3,1207,1933,3,1,2,9430,152500,94.0
213,Timber,7,2488,1936,4,2,3,15743,305000,71.0
214,BrkSide,4,1345,1909,2,2,2,14421,180300,44.0
215,Edwards,5,2439,1954,4,1,1,9921,229300,63.0
216,Edwards,6,1583,1977,2,3,3,7659,223900,38.0
217,Somerst,4,2084,1937,2,2,1,16508,253600,72.0
218,Somerst,7,1930,1912,4,3,3,8047,295100,76.0
219,MeadowV,4,2324,1952,3,1,2,15564,211100,64.0
220,NWAmes,5,2006,1982,4,3,2,18671,268000,75.0
221,Gilbert,4,1264,1945,4,2,3,17195,221200,79.0
222,CollgCr,6,1797,1936,3,2,2,15176,238500,76.0
223,Edwards,2,1533,1918,4,1,1,14546,143200,44.0
224,BrDale,5,2168,1982,3,2,3,21217,196200,64.0
225,Gilbert,4,1595,2002,2,2,1,4019,235900,79.0
226,MeadowV,4,1635,1984,3,3,2,10644,184300,105.0
227,NridgHt,8,2605,1978,4,3,1,17179,348000,64.0
228,OldTown,6,2026,1981,3,2,1,11871,205200,82.0
229,OldTown,4,1167,1945,5,1,2,15673,177200,89.0
230,Somerst,5,1515,1914,2,1,2,11892,232500,66.0
231,Somerst,6,2062,1952,4,3,1,13585,281700,95.0
232,CollgCr,7,2585,1986,3,2,3,13208,292100,96.0
233,BrDale,5,2365,1971,5,3,1,11901,189000,100.0
234,OldTown,4,1892,2010,4,2,3,10869,210700,80.0
235,MeadowV,4,1720,2009,4,2,1,13389,183800,122.0
236,BrkSide,3,1702,1928,3,1,1,9693,154900,56.0
237,CollgCr,6,1746,1910,3,3,2,15828,243100,117.0
238,BrkSide,2,1206,1932,4,1,1,13698,157400,87.0
239,NridgHt,9,2231,2010,5,3,3,17309,373100,99.0
240,Somerst,6,1542,2001,4,3,2,8132,243300,63.0
241,BrkSide,7,2276,1912,3,2,2,7603,192700,89.0
242,BrkSide,3,1504,1919,4,1,2,11993,160500,101.0
243,Gilbert,6,2220,1969,6,3,1,23585,235100,46.0
244,CollgCr,8,2531,1981,4,3,1,18493,286900,66.0
245,OldTown,6,2064,2010,5,2,2,11187,255600,23.0
246,IDOTRR,3,1634,1983,3,1,1,13753,139900,66.0
247,OldTown,5,1785,1925,3,1,1,15116,184400,
248,NWAmes,6,2124,1912,4,3,3,8458,294300,65.0
249,NWAmes,6,1725,1977,4,3,2,17243,258800,134.0
250,CollgCr,5,1929,1969,3,3,1,12272,243600,
251,OldTown,4,1853,2003,3,2,1,12388,194600,38.0
252,IDOTRR,2,1025,1963,4,1,1,11133,143800,82.0
253,CollgCr,6,1998,1964,5,3,3,17001,299700,88.0
254,Gilbert,6,1761,1941,5,2,3,9878,241400,63.0
255,Gilbert,5,1615,1917,5,2,2,6255,215900,74.0
256,Edwards,3,1046,1998,3,3,2,12222,147600,76.0
257,BrkSide,6,2423,1992,4,2,1,6693,227800,40.0
258,Somerst,7,2532,1929,5,3,2,13010,270600,47.0
259,NoRidge,7,2348,1998,5,2,2,17850,354800,74.0
260,OldTown,4,2310,1942,3,2,2,15646,187900,
261,Somerst,4,1553,1960,2,3,2,15754,269400,54.0
262,BrkSide,3,2501,1995,4,2,2,16173,200500,53.0
263,Gilbert,5,1720,2000,3,2,2,20876,254600,68.0
264,Somerst,8,2429,1932,4,2,2,11799,272600,
265,MeadowV,3,1300,1933,4,2,1,12993,145700,68.0
266,Timber,7,2290,2002,5,2,2,12046,284300,106.0
267,Gilbert,5,2092,2008,5,2,2,16532,251600,55.0
268,Somerst,7,2120,1920,2,2,2,13024,322500,74.0
269,Somerst,6,2601,2003,4,3,2,20217,319900,62.0
270,NridgHt,9,2603,1974,5,3,2,12348,383400,83.0
271,StoneBr,7,2254,1984,3,2,1,18432,406800,53.0
272,Timber,4,1301,1920,3,1,2,13677,223100,112.0
273,StoneBr,6,2126,1994,3,3,3,13138,370400,33.0
274,OldTown,4,1573,1976,3,2,2,14044,162100,
275,Edwards,3,1227,1974,4,1,1,12368,163800,72.0
276,NWAmes,6,1708,1994,5,1,2,13661,229700,82.0
277,Gilbert,5,2735,2010,4,2,1,13745,277300,99.0
278,CollgCr,9,2427,2002,4,2,3,11398,313100,89.0
279,IDOTRR,2,750,1981,3,1,1,9327,126000,54.0
280,BrkSide,5,1555,2009,4,2,1,6218,216300,
281,StoneBr,6,1961,1994,4,2,2,15868,329600,111.0
282,Timber,6,2171,1985,4,2,2,9018,297500,50.0
283,Gilbert,6,2174,1967,5,2,3,12586,282000,117.0
284,Gilbert,3,1676,1992,4,2,1,14620,197000,78.0
285,OldTown,5,1574,1909,2,3,2,15085,172200,60.0
286,NWAmes,8,2459,1963,5,2,3,7706,291400,
287,StoneBr,7,1853,1966,4,3,2,12384,351100,
288,NWAmes,6,1763,2008,4,1,2,14135,283600,
289,CollgCr,7,1838,1916,4,3,2,12858,255200,61.0
290,Somerst,6,1564,1982,3,2,1,16832,259600,64.0
291,BrkSide,4,1992,1922,4,2,2,10107,174500,46.0
292,StoneBr,5,2041,2010,4,2,2,5910,342900,86.0
293,MeadowV,5,2141,1993,2,2,2,16118,193300,
294,NoRidge,8,2353,1946,4,3,2,11826,357000,56.0
295,BrkSide,3,1711,1997,3,1,2,6267,186200,63.0
296,IDOTRR,4,1003,1954,2,2,3,10451,169700,78.0
297,BrDale,3,1742,2006,5,1,1,16790,164700,72.0
298,BrkSide,4,1681,1982,4,2,1,7940,173400,
299,BrkSide,5,2019,1905,4,2,2,21213,203700,73.0
300,OldTown,3,1573,1924,3,2,2,9213,117900,69.0
301,BrkSide,6,1634,1946,4,2,2,12572,189700,45.0
302,Somerst,5,1275,1935,4,2,4,7283,235000,
303,OldTown,4,1370,1916,2,1,2,11885,194900,83.0
304,CollgCr,8,2537,2010,4,3,3,13605,300600,
305,BrkSide,6,2221,1997,5,2,2,8228,216100,65.0
306,CollgCr,6,1501,1956,2,2,1,21892,243000,85.0
307,NWAmes,5,1456,1931,3,2,2,10178,216900,
308,OldTown,4,1366,1921,3,2,2,10001,166800,49.0
309,Gilbert,6,1854,2008,3,2,2,16099,262300,64.0
310,Somerst,6,1503,1948,3,2,2,18355,254900,103.0
311,CollgCr,6,1482,1910,3,2,2,15906,232300,74.0
312,NWAmes,6,1692,1951,5,4,2,8179,227600,64.0
313,Gilbert,5,1830,1957,3,3,2,13408,222000,104.0
314,NWAmes,4,1206,1976,3,2,2,4827,221800,
315,NWAmes,5,1759,1945,5,3,2,15673,244100,119.0
316,Gilbert,7,2530,2009,4,1,1,8336,257000,59.0
317,NWAmes,4,1164,1978,4,1,2,8516,233600,48.0
318,Edwards,4,1547,2010,3,2,1,12082,205400,
319,Gilbert,5,2158,1948,5,1,2,14873,267900,65.0
320,MeadowV,4,1473,1971,4,2,2,11032,595000,52.0
321,MeadowV,4,1419,1940,3,2,3,17154,177400,127.0
322,CollgCr,8,2747,1985,4,3,2,17025,344300,77.0
323,Gilbert,6,1872,1990,3,2,2,15000,252400,80.0
324,OldTown,3,1826,1937,4,2,2,8349,163000,60.0
325,BrkSide,5,1950,2005,4,2,1,18847,179400,
326,OldTown,4,1500,1996,3,2,2,9189,222900,93.0
327,BrkSide,4,1787,2000,3,1,1,18655,225400,33.0
328,OldTown,5,1912,1925,3,3,1,19901,176400,
329,OldTown,4,1977,1980,4,2,1,14748,183700,65.0
330,Gilbert,7,1968,1919,5,3,3,16548,254900,100.0
331,Edwards,4,1634,1913,3,1,1,1500,198600,62.0
332,Timber,6,1958,2010,3,3,2,12233,267000,79.0
333,Edwards,4,1866,1918,4,2,2,16589,153600,
334,BrkSide,4,1261,1997,4,2,1,14757,217300,99.0
335,Somerst,8,2695,1959,5,3,3,10120,324500,
336,OldTown,5,1963,1935,3,2,1,11897,204400,86.0
337,NoRidge,10,2239,1929,4,1,3,4600,373000,66.0
338,Edwards,7,2582,1976,3,1,2,15609,251900,90.0
339,NoRidge,7,2941,2000,4,3,2,8290,352800,52.0
340,MeadowV,4,1970,1951,5,3,1,16896,158200,71.0
341,Somerst,5,2299,2001,3,3,2,17737,288200,68.0
342,BrDale,3,1469,1935,2,2,2,10277,118600,48.0
343,BrkSide,4,1038,1962,2,1,1,12900,160300,
344,OldTown,3,794,1933,3,1,1,9828,140600,57.0
345,BrkSide,3,1529,1966,4,2,2,12904,171700,
346,BrkSide,4,1412,1916,4,1,2,7808,163000,53.0
347,MeadowV,3,1119,1952,4,3,0,13416,118800,63.0
348,Gilbert,7,2138,1968,2,4,4,7531,246600,29.0
349,OldTown,3,1655,1963,4,2,2,5905,184300,62.0
350,NoRidge,10,2191,1970,4,3,3,12955,377300,93.0
351,OldTown,4,1462,1972,4,1,2,11184,161100,86.0
352,Timber,6,2508,1968,3,3,1,14969,294100,68.0
353,OldTown,3,1063,1933,3,2,2,8852,154400,75.0
354,OldTown,7,2464,1925,4,2,2,20527,221200,52.0
355,CollgCr,7,1990,1980,5,3,3,13542,241000,106.0
356,CollgCr,6,2171,2010,3,2,2,14157,289600,115.0
357,Edwards,3,1824,1984,4,2,2,13338,169500,74.0
358,BrkSide,5,2059,1972,3,1,1,16628,205300,127.0
359,CollgCr,4,1938,2010,4,2,2,14892,240300,55.0
360,OldTown,6,1576,2000,4,2,1,13699,198100,42.0
361,MeadowV,5,2189,1955,5,3,3,15953,218900,
362,Somerst,6,1681,1924,3,2,4,5975,282700,
363,Somerst,3,1530,1981,4,2,3,5806,270500,121.0
364,NoRidge,7,2250,1989,5,2,3,13233,369700,64.0
365,OldTown,5,1969,1932,2,2,2,12246,208000,51.0
366,CollgCr,7,2277,2002,4,2,3,15583,259800,50.0
367,BrkSide,6,1684,1997,4,2,2,12438,205400,95.0
368,Edwards,3,967,1938,3,2,0,12970,145400,92.0
369,NWAmes,6,2285,1960,3,2,3,9210,291100,59.0
370,IDOTRR,5,1865,1921,4,1,3,12692,176900,29.0
371,Edwards,3,1842,1921,3,1,1,7990,180600,45.0
372,Gilbert,6,1964,1937,3,3,1,14282,250000,108.0
373,NWAmes,6,1488,1948,3,2,2,5402,260400,85.0
374,Gilbert,5,2138,1938,4,2,1,14495,240500,71.0
375,Somerst,4,1490,1928,3,2,2,6838,257400,111.0
376,Somerst,6,2099,1961,3,2,1,11855,245800,113.0
377,MeadowV,4,1393,1968,3,1,2,14918,136200,69.0
378,CollgCr,6,2555,1944,5,2,1,14905,230100,70.0
379,NWAmes,5,1493,1966,5,3,1,6226,244100,57.0
380,Edwards,4,1501,1931,2,1,2,9648,193200,
381,OldTown,4,1657,1979,4,2,1,7059,203800,37.0
382,MeadowV,5,1417,1971,2,1,2,5902,162300,37.0
383,BrkSide,4,1735,2007,4,2,1,12881,183200,32.0
384,CollgCr,5,2364,1914,3,2,1,15689,250300,94.0
385,NWAmes,6,1808,2001,3,2,0,14158,274000,36.0
386,BrDale,2,1398,1937,3,1,0,13905,170300,113.0
387,Edwards,5,837,1909,3,1,3,10632,185800,54.0
388,BrDale,4,1606,1975,4,1,3,11255,189400,108.0
389,Somerst,6,1870,1930,4,1,2,8984,293500,62.0
390,BrkSide,6,1693,1921,3,2,1,10845,188100,36.0
391,OldTown,2,1638,2009,2,2,1,7651,169400,98.0
392,Somerst,4,1505,1936,4,1,2,9051,242000,101.0
393,OldTown,5,1737,1962,3,2,1,12785,177200,50.0
394,Edwards,5,1667,1924,4,1,2,11921,189300,63.0
395,NridgHt,8,1669,1934,3,3,2,23064,324200,
396,CollgCr,5,1403,1909,2,1,1,7095,243100,
397,BrkSide,5,2136,1903,4,2,1,12834,203600,72.0
398,Gilbert,7,1421,1960,4,2,2,6858,273600,62.0
399,CollgCr,6,1711,1956,4,4,1,11064,220400,30.0
400,CollgCr,6,1840,1913,3,3,2,11465,284800,57.0
401,Gilbert,3,2050,1946,3,1,1,16057,197600,85.0
402,MeadowV,5,2069,1930,5,2,2,11564,163800,
403,BrkSide,6,1784,1964,3,3,3,11898,201800,63.0
404,Somerst,7,2616,2010,4,1,2,12725,336300,
405,BrDale,3,1180,1976,3,1,2,6456,162800,57.0
406,IDOTRR,5,2153,2001,2,2,1,11023,194100,101.0
407,Gilbert,7,1684,1929,4,2,2,11031,235400,45.0
408,BrkSide,6,2355,1925,4,2,2,13968,192200,86.0
409,Somerst,5,1657,1994,4,1,3,14270,292500,71.0
410,BrDale,4,1260,1934,3,3,0,10698,165800,
411,Edwards,5,1723,1995,3,1,2,11563,231200,54.0
412,OldTown,5,1897,1953,3,2,3,6771,214800,
413,NoRidge,7,1986,1943,4,3,2,14861,295500,70.0
414,IDOTRR,5,1993,1992,3,2,2,10550,175000,59.0
415,NridgHt,9,2315,1981,4,2,3,16244,392300,77.0
416,Gilbert,6,2197,1996,4,1,2,18001,261400,80.0
417,Somerst,7,2314,1961,5,2,3,12970,290500,118.0
418,BrkSide,4,1598,1915,4,1,2,8614,158100,76.0
419,Timber,8,2185,1986,5,3,3,13311,330200,28.0
420,IDOTRR,3,1493,1913,3,1,1,13206,156400,96.0
421,OldTown,4,1812,1974,3,2,1,11519,200100,66.0
422,NridgHt,8,3061,1966,5,3,2,13147,377700,
423,NridgHt,9,2848,2008,4,3,2,16668,401900,102.0
424,StoneBr,6,2321,2010,4,3,2,15383,328700,59.0
425,OldTown,3,2520,1946,3,1,1,12827,195500,86.0
426,BrkSide,2,1440,1999,2,1,1,6090,122100,57.0
427,Gilbert,6,2149,1920,4,2,2,14895,224800,70.0
428,BrkSide,3,1686,1913,4,1,1,9686,161200,85.0
429,StoneBr,7,1806,2010,3,2,3,13362,394100,94.0
430,BrkSide,5,1644,1965,4,2,1,12817,158800,90.0
431,MeadowV,3,1262,1949,3,1,2,4912,127800,72.0
432,Edwards,5,2026,1919,4,2,2,13335,205500,125.0
433,Edwards,4,1559,1933,4,2,2,13918,214900,
434,BrkSide,5,1848,1977,4,2,2,14926,207700,35.0
435,StoneBr,8,2720,2010,5,3,3,14850,397600,39.0
436,Timber,6,2282,2010,5,3,2,6643,293100,102.0
437,Somerst,6,1923,1956,3,3,1,17315,261500,
438,CollgCr,7,1925,1959,3,3,3,14288,275700,73.0
439,Edwards,5,2197,1919,3,2,2,9182,194600,58.0
440,OldTown,3,1710,1911,3,3,2,9662,186900,60.0
441,BrkSide,5,1237,1950,1,3,2,12283,153200,53.0
442,Somerst,5,1690,1975,3,3,1,14759,275600,80.0
443,Edwards,6,2037,1913,3,3,1,11366,204600,
444,Timber,8,2612,1956,5,2,3,17113,315900,80.0
445,Gilbert,6,2298,1978,4,2,2,7321,238100,
